userid,pwd,email,displayName,random_user_id
user1,1,user1@campus.fct.unl.pt,user1,user18
user2,2,user2@campus.fct.unl.pt,user2,user29
user3,3,user3@campus.fct.unl.pt,user3,user27
user4,4,user4@campus.fct.unl.pt,user4,user11
user5,5,user5@campus.fct.unl.pt,user5,user15
user6,6,user6@campus.fct.unl.pt,user6,user27
user7,7,user7@campus.fct.unl.pt,user7,user18
user8,8,user8@campus.fct.unl.pt,user8,user6
user9,9,user9@campus.fct.unl.pt,user9,user17
user10,10,user10@campus.fct.unl.pt,user10,user20
user11,11,user11@campus.fct.unl.pt,user11,user27
user12,12,user12@campus.fct.unl.pt,user12,user5
user13,13,user13@campus.fct.unl.pt,user13,user24
user14,14,user14@campus.fct.unl.pt,user14,user21
user15,15,user15@campus.fct.unl.pt,user15,user24
user16,16,user16@campus.fct.unl.pt,user16,user13
user17,17,user17@campus.fct.unl.pt,user17,user29
user18,18,user18@campus.fct.unl.pt,user18,user22
user19,19,user19@campus.fct.unl.pt,user19,user28
user20,20,user20@campus.fct.unl.pt,user20,user18
user21,21,user21@campus.fct.unl.pt,user21,user2
user22,22,user22@campus.fct.unl.pt,user22,user20
user23,23,user23@campus.fct.unl.pt,user23,user28
user24,24,user24@campus.fct.unl.pt,user24,user14
user25,25,user25@campus.fct.unl.pt,user25,user20
user26,26,user26@campus.fct.unl.pt,user26,user27
user27,27,user27@campus.fct.unl.pt,user27,user19
user28,28,user28@campus.fct.unl.pt,user28,user10
user29,29,user29@campus.fct.unl.pt,user29,user24
user30,30,user30@campus.fct.unl.pt,user30,user3
user31,31,user31@campus.fct.unl.pt,user31,user22
user32,32,user32@campus.fct.unl.pt,user32,user15
user33,33,user33@campus.fct.unl.pt,user33,user20
user34,34,user34@campus.fct.unl.pt,user34,user13
user35,35,user35@campus.fct.unl.pt,user35,user24
user36,36,user36@campus.fct.unl.pt,user36,user18
user37,37,user37@campus.fct.unl.pt,user37,user19
user38,38,user38@campus.fct.unl.pt,user38,user5
user39,39,user39@campus.fct.unl.pt,user39,user24
user40,40,user40@campus.fct.unl.pt,user40,user17
user41,41,user41@campus.fct.unl.pt,user41,user14
user42,42,user42@campus.fct.unl.pt,user42,user26
user43,43,user43@campus.fct.unl.pt,user43,user4
